	Total	Ubi	Int	Ubi_Ent	Int_Ent	Overlap_Ent	delta
0	10	2	1	0.7219280948873623	0.4689955935892812	0.2	0.2689955935892812
1	10	3	1	0.8812908992306927	0.4689955935892812	0.27548875021634683	0.1935068433729344
2	10	3	2	0.8812908992306927	0.7219280948873623	0.27548875021634683	0.4464393446710155
3	10	4	1	0.9709505944546686	0.4689955935892812	0.32451124978365314	0.14448434380562808
4	10	4	2	0.9709505944546686	0.7219280948873623	0.4	0.3219280948873623
5	10	4	3	0.9709505944546686	0.8812908992306927	0.32451124978365314	0.5567796494470396
6	10	5	1	1.0	0.4689955935892812	0.36096404744368116	0.10803154614560007
7	10	5	2	1.0	0.7219280948873623	0.4854752972273343	0.23645279766002802
8	10	5	3	1.0	0.8812908992306927	0.4854752972273343	0.3958156020033584
9	10	5	4	1.0	0.9709505944546686	0.36096404744368116	0.6099865470109874
10	10	6	1	0.9709505944546686	0.4689955935892812	0.39001345298901247	0.07898214060026876
11	10	6	2	0.9709505944546686	0.7219280948873623	0.5509775004326937	0.17095059445466865
12	10	6	3	0.9709505944546686	0.8812908992306927	0.6	0.2812908992306927
13	10	6	4	0.9709505944546686	0.9709505944546686	0.5509775004326937	0.4199730940219749
14	10	6	5	0.9709505944546686	1.0	0.39001345298901247	0.6099865470109875
15	10	7	1	0.8812908992306927	0.4689955935892812	0.41417094500762913	0.05482464858165209
16	10	7	2	0.8812908992306927	0.7219280948873623	0.6041843979966417	0.11774369689072062
17	10	7	3	0.8812908992306927	0.8812908992306927	0.6896596952239761	0.19163120400671663
18	10	7	4	0.8812908992306927	0.9709505944546686	0.6896596952239761	0.2812908992306925
19	10	7	5	0.8812908992306927	1.0	0.6041843979966417	0.3958156020033583
20	10	7	6	0.8812908992306927	0.9709505944546686	0.4141709450076292	0.5567796494470394
21	10	8	1	0.7219280948873623	0.4689955935892812	0.43485155455967717	0.034144039029604056
22	10	8	2	0.7219280948873623	0.7219280948873623	0.6490224995673063	0.07290559532005603
23	10	8	3	0.7219280948873623	0.8812908992306927	0.763547202339972	0.11774369689072073
24	10	8	4	0.7219280948873623	0.9709505944546686	0.8	0.17095059445466854
25	10	8	5	0.7219280948873623	1.0	0.763547202339972	0.23645279766002802
26	10	8	6	0.7219280948873623	0.9709505944546686	0.6490224995673063	0.3219280948873623
27	10	8	7	0.7219280948873623	0.8812908992306927	0.43485155455967717	0.44643934467101554
28	10	9	1	0.46899559358928117	0.4689955935892812	0.45293250129808116	0.016063092291200065
29	10	9	2	0.46899559358928117	0.7219280948873623	0.6877840558577583	0.034144039029604056
30	10	9	3	0.46899559358928117	0.8812908992306927	0.8264662506490407	0.054824648581652036
31	10	9	4	0.46899559358928117	0.9709505944546686	0.8919684538544	0.07898214060026854
32	10	9	5	0.46899559358928117	1.0	0.8919684538544	0.10803154614559995
33	10	9	6	0.46899559358928117	0.9709505944546686	0.8264662506490407	0.1444843438056279
34	10	9	7	0.46899559358928117	0.8812908992306927	0.6877840558577583	0.19350684337293445
35	10	9	8	0.46899559358928117	0.7219280948873623	0.45293250129808127	0.26899559358928105
36	11	2	1	0.6840384356390419	0.4394969869215134	0.18181818181818182	0.2576788051033316
37	11	3	1	0.8453509366224365	0.4394969869215134	0.2504443183784971	0.18905266854301628
38	11	3	2	0.8453509366224365	0.6840384356390419	0.2504443183784971	0.43359411726054475
39	11	4	1	0.9456603046006402	0.4394969869215134	0.2950102270760483	0.1444867598454651
40	11	4	2	0.9456603046006402	0.6840384356390419	0.36363636363636365	0.32040207200267823
41	11	4	3	0.9456603046006402	0.8453509366224365	0.2950102270760483	0.5503407095463883
42	11	5	1	0.9940302114769565	0.4394969869215134	0.32814913403971013	0.11134785288180327
43	11	5	2	0.9940302114769565	0.6840384356390419	0.4413411792975766	0.24269725634146527
44	11	5	3	0.9940302114769565	0.8453509366224365	0.4413411792975766	0.40400975732485994
45	11	5	4	0.9940302114769565	0.9456603046006402	0.32814913403971013	0.6175111705609301
46	11	6	1	0.9940302114769565	0.4394969869215134	0.3545576845354659	0.08493930238604752
47	11	6	2	0.9940302114769565	0.6840384356390419	0.5008886367569942	0.18314979888204763
48	11	6	3	0.9940302114769565	0.8453509366224365	0.5454545454545454	0.29989639116789113
49	11	6	4	0.9940302114769565	0.9456603046006402	0.5008886367569942	0.44477166784364597
50	11	6	5	0.9940302114769565	0.9940302114769565	0.3545576845354659	0.6394725269414906
51	11	7	1	0.9456603046006402	0.4394969869215134	0.3765190409160265	0.0629779460054869
52	11	7	2	0.9456603046006402	0.6840384356390419	0.5492585436333106	0.13477989200573126
53	11	7	3	0.9456603046006402	0.8453509366224365	0.6269633592945237	0.2183875773279128
54	11	7	4	0.9456603046006402	0.9456603046006402	0.6269633592945237	0.3186969453061165
55	11	7	5	0.9456603046006402	0.9940302114769565	0.5492585436333106	0.44477166784364586
56	11	7	6	0.9456603046006402	0.9940302114769565	0.37651904091602656	0.61751117056093
57	11	8	1	0.8453509366224365	0.4394969869215134	0.39531959505425196	0.04417739186726144
58	11	8	2	0.8453509366224365	0.6840384356390419	0.5900204541520966	0.09401798148694529
59	11	8	3	0.8453509366224365	0.8453509366224365	0.6941338203090655	0.1512171163133711
60	11	8	4	0.8453509366224365	0.9456603046006402	0.7272727272727273	0.21838757732791292
61	11	8	5	0.8453509366224365	0.9940302114769565	0.6941338203090655	0.299896391167891
62	11	8	6	0.8453509366224365	0.9940302114769565	0.5900204541520966	0.4040097573248599
63	11	8	7	0.8453509366224365	0.9456603046006402	0.39531959505425196	0.5503407095463883
